date,cash,position_value,total_equity,cum_return
2023-06-30,1000000.0,0.0,1000000.0,0.0
2023-07-03,1000000.0,0.0,1000000.0,0.0
2023-07-04,1000000.0,0.0,1000000.0,0.0
2023-07-05,1000000.0,0.0,1000000.0,0.0
2023-07-06,1000000.0,0.0,1000000.0,0.0
2023-07-07,1000000.0,0.0,1000000.0,0.0
2023-07-10,0.0,992673.270646014,992673.270646014,-0.007326729353985928
2023-07-11,0.0,1009714.756156715,1009714.756156715,0.009714756156715021
2023-07-12,0.0,978103.2180279013,978103.2180279013,-0.021896781972098767
2023-07-13,0.0,1010100.9645653456,1010100.9645653456,0.010100964565345594
2023-07-14,0.0,1029886.5303520192,1029886.5303520192,0.02988653035201927
2023-07-17,0.0,1030802.7940266021,1030802.7940266021,0.03080279402660202
2023-07-18,0.0,1015669.9823347605,1015669.9823347605,0.01566998233476058
2023-07-19,0.0,1010403.1010724461,1010403.1010724461,0.01040310107244613
2023-07-20,0.0,976060.9821354818,976060.9821354818,-0.02393901786451824
2023-07-21,0.0,970546.1119755348,970546.1119755348,-0.029453888024465136
2023-07-24,0.0,965850.5281980302,965850.5281980302,-0.03414947180196981
2023-07-25,0.0,986139.8698093898,986139.8698093898,-0.013860130190610165
2023-07-26,0.0,984896.7329537189,984896.7329537189,-0.015103267046281177
2023-07-27,0.0,984927.9007291272,984927.9007291272,-0.015072099270872719
2023-07-28,0.0,1014721.8349487053,1014721.8349487053,0.01472183494870527
2023-07-31,0.0,1023868.2554618104,1023868.2554618104,0.023868255461810373
2023-08-01,0.0,1021779.5245904846,1021779.5245904846,0.0217795245904846
2023-08-02,0.0,1009167.8500506203,1009167.8500506203,0.009167850050620263
2023-08-03,0.0,1019277.2515961444,1019277.2515961444,0.01927725159614435
2023-08-04,0.0,1020220.7683808424,1020220.7683808424,0.020220768380842413
2023-08-07,0.0,1009600.273031767,1009600.273031767,0.009600273031767026
2023-08-08,0.0,1008253.908058922,1008253.908058922,0.008253908058922121
2023-08-09,0.0,1006791.9525177316,1006791.9525177316,0.00679195251773157
2023-08-10,0.0,1009132.9000716972,1009132.9000716972,0.009132900071697092
2023-08-11,0.0,988113.0739298756,988113.0739298756,-0.011886926070124426
2023-08-14,0.0,981765.8717691306,981765.8717691306,-0.01823412823086945
2023-08-15,0.0,993864.8350759966,993864.8350759966,-0.006135164924003456
2023-08-16,0.0,993183.6744949028,993183.6744949028,-0.006816325505097143
2023-08-17,0.0,990373.312604059,990373.312604059,-0.00962668739594097
2023-08-18,0.0,987680.5826583693,987680.5826583693,-0.012319417341630667
2023-08-21,0.0,973437.4968394146,973437.4968394146,-0.026562503160585393
2023-08-22,0.0,982142.7314648854,982142.7314648854,-0.0178572685351146
2023-08-23,0.0,977253.6059016126,977253.6059016126,-0.022746394098387412
2023-08-24,0.0,969631.7319791042,969631.7319791042,-0.03036826802089576
2023-08-25,0.0,975014.0227261542,975014.0227261542,-0.024985977273845772
2023-08-28,0.0,991006.9282282406,991006.9282282406,-0.008993071771759453
2023-08-29,0.0,983235.6429746966,983235.6429746966,-0.016764357025303434
2023-08-30,0.0,972226.6465950236,972226.6465950236,-0.027773353404976442
2023-08-31,0.0,967406.6207882955,967406.6207882955,-0.032593379211704465
2023-09-01,0.0,978058.4047210132,978058.4047210132,-0.02194159527898687
2023-09-04,0.0,988293.773007052,988293.773007052,-0.011706226992947988
2023-09-05,0.0,983531.0342573246,983531.0342573246,-0.016468965742675312
2023-09-06,0.0,983104.3013557744,983104.3013557744,-0.016895698644225576
2023-09-07,0.0,976718.4173595144,976718.4173595144,-0.023281582640485632
2023-09-08,0.0,971167.2337235691,971167.2337235691,-0.028832766276430943
2023-09-11,0.0,980452.5128738057,980452.5128738057,-0.019547487126194252
2023-09-12,0.0,978913.2521820463,978913.2521820463,-0.02108674781795372
2023-09-13,0.0,977784.5914805222,977784.5914805222,-0.022215408519477786
2023-09-14,0.0,987467.7972352626,987467.7972352626,-0.012532202764737432
2023-09-15,0.0,984346.9691748534,984346.9691748534,-0.015653030825146574
2023-09-18,0.0,983829.1928311198,983829.1928311198,-0.016170807168880197
2023-09-19,0.0,985472.6703428692,985472.6703428692,-0.014527329657130772
2023-09-20,0.0,990219.6930397099,990219.6930397099,-0.009780306960290086
2023-09-21,0.0,985631.3926765966,985631.3926765966,-0.014368607323403393
2023-09-22,0.0,988180.4329398707,988180.4329398707,-0.01181956706012921
2023-09-25,0.0,987879.3491743819,987879.3491743819,-0.012120650825618084
2023-09-26,0.0,982527.3044892659,982527.3044892659,-0.01747269551073416
2023-09-27,0.0,976868.4671240655,976868.4671240655,-0.023131532875934502
2023-09-28,0.0,973895.0996997254,973895.0996997254,-0.02610490030027457
2023-10-09,5.820766091346741e-11,969336.6595521197,969336.6595521197,-0.030663340447880327
2023-10-10,5.820766091346741e-11,957836.2418617471,957836.2418617471,-0.042163758138252905
2023-10-11,5.820766091346741e-11,952700.1244215228,952700.124421523,-0.047299875578477035
2023-10-12,5.820766091346741e-11,969313.5022342696,969313.5022342696,-0.030686497765730403
2023-10-13,5.820766091346741e-11,966938.3834280226,966938.3834280227,-0.03306161657197726
2023-10-16,5.820766091346741e-11,968439.5871129597,968439.5871129597,-0.03156041288704026
2023-10-17,5.820766091346741e-11,974124.2628121076,974124.2628121076,-0.025875737187892378
2023-10-18,5.820766091346741e-11,966357.4095000953,966357.4095000953,-0.0336425904999047
2023-10-19,5.820766091346741e-11,941774.7008270562,941774.7008270563,-0.05822529917294372
2023-10-20,5.820766091346741e-11,936536.9220879222,936536.9220879222,-0.06346307791207773
2023-10-23,0.0,927628.3277614949,927628.3277614949,-0.07237167223850505
2023-10-24,0.0,928560.2014801031,928560.2014801031,-0.0714397985198969
2023-10-25,0.0,932919.4335102921,932919.4335102921,-0.06708056648970795
2023-10-26,0.0,942452.0131776562,942452.0131776562,-0.057547986822343744
2023-10-27,0.0,944829.6869733148,944829.6869733148,-0.05517031302668518
2023-10-30,0.0,930788.3473195649,930788.3473195649,-0.06921165268043505
2023-10-31,0.0,930539.3911711486,930539.3911711486,-0.06946060882885141
2023-11-01,0.0,931112.5313176778,931112.5313176778,-0.0688874686823222
2023-11-02,0.0,935064.8346836963,935064.8346836963,-0.06493516531630372
2023-11-03,0.0,931910.4272701007,931910.4272701007,-0.06808957272989935
2023-11-06,0.0,952476.5913919321,952476.5913919321,-0.04752340860806792
2023-11-07,0.0,950737.2689515923,950737.2689515923,-0.049262731048407726
2023-11-08,0.0,952799.7007074828,952799.7007074828,-0.047200299292517234
2023-11-09,0.0,943017.6827710979,943017.6827710979,-0.056982317228902124
2023-11-10,0.0,937835.2519538143,937835.2519538143,-0.06216474804618566
2023-11-13,0.0,931231.6378287385,931231.6378287385,-0.06876836217126148
2023-11-14,0.0,929678.1022381292,929678.1022381292,-0.07032189776187081
2023-11-15,0.0,941302.5925227132,941302.5925227132,-0.0586974074772868
2023-11-16,0.0,922195.877861295,922195.877861295,-0.07780412213870502
2023-11-17,0.0,927793.0039675892,927793.0039675892,-0.07220699603241076
2023-11-20,5.820766091346741e-11,918754.4992054456,918754.4992054456,-0.08124550079455439
2023-11-21,5.820766091346741e-11,914742.7463231192,914742.7463231192,-0.08525725367688086
2023-11-22,5.820766091346741e-11,907361.4310284648,907361.4310284648,-0.09263856897153522
2023-11-23,5.820766091346741e-11,916180.3431486977,916180.3431486979,-0.0838196568513021
2023-11-24,5.820766091346741e-11,918187.4721963042,918187.4721963042,-0.08181252780369574
2023-11-27,5.820766091346741e-11,924100.5834388693,924100.5834388693,-0.07589941656113064
2023-11-28,5.820766091346741e-11,925779.0068444853,925779.0068444854,-0.07422099315551456
2023-11-29,5.820766091346741e-11,929052.2386247981,929052.2386247981,-0.07094776137520187
2023-11-30,5.820766091346741e-11,926968.8394166635,926968.8394166636,-0.07303116058333636
2023-12-01,5.820766091346741e-11,929252.6313410954,929252.6313410955,-0.07074736865890441
2023-12-04,0.0,924845.1141099393,924845.1141099393,-0.0751548858900607
2023-12-05,0.0,907116.3212366176,907116.3212366176,-0.09288367876338233
2023-12-06,0.0,911337.5565923062,911337.5565923062,-0.0886624434076938
2023-12-07,0.0,902759.1368530653,902759.1368530653,-0.0972408631469347
2023-12-08,0.0,904156.2268078492,904156.2268078492,-0.09584377319215076
2023-12-11,0.0,918933.3477459046,918933.3477459046,-0.08106665225409537
2023-12-12,0.0,919461.8753552752,919461.8753552752,-0.08053812464472476
2023-12-13,0.0,912235.1880535968,912235.1880535968,-0.08776481194640329
