symbol,name,category,selected_count
516310,银行ETF易方达,金融地产,19
515450,红利低波50ETF南方,红利/低波/质量,16
515300,300红利低波ETF嘉实,宽基/规模,16
515290,银行ETF天弘,金融地产,14
515880,通信ETF国泰,通信/5G,13
512800,银行ETF华宝,金融地产,11
515220,煤炭ETF国泰,周期资源,8
159980,有色ETF大成,周期资源,8
513310,中韩半导体ETF华泰柏瑞,半导体/芯片,7
159851,金融科技ETF华宝,金融地产,7
159583,通信ETF富国,通信/5G,7
515050,通信ETF华夏,通信/5G,7
512040,价值100ETF富国,红利/低波/质量,5
515100,红利低波100ETF景顺,红利/低波/质量,4
510230,金融ETF国泰,金融地产,4
588290,科创芯片ETF华安,半导体/芯片,4
561160,电池ETF富国,新能源/电力设备,4
159326,电网设备ETF华夏,其他权益主题,4
512880,证券ETF国泰,金融地产,4
588200,科创芯片ETF嘉实,半导体/芯片,4
159796,电池ETF汇添富,新能源/电力设备,4
560860,工业有色ETF万家,周期资源,4
159732,消费电子ETF华夏,消费,3
512070,证券保险ETF易方达,金融地产,3
517380,创新药ETF天弘,医药/医疗,3
561910,电池ETF招商,新能源/电力设备,3
561330,矿业ETF国泰,其他权益主题,3
561560,电力ETF华泰柏瑞,其他权益主题,3
561380,电网设备ETF国泰,其他权益主题,3
588020,科创成长ETF易方达,宽基/规模,2
561550,中证500增强ETF华泰柏瑞,宽基/规模,2
588710,科创半导体设备ETF华泰柏瑞,半导体/芯片,2
512900,证券ETF南方,金融地产,2
510210,上证指数ETF富国,宽基/规模,2
510760,上证指数ETF国泰,宽基/规模,2
159994,通信ETF银华,通信/5G,2
588170,科创半导体ETF华夏,半导体/芯片,2
516080,创新药ETF易方达,医药/医疗,2
512290,生物医药ETF国泰,医药/医疗,2
512890,红利低波ETF华泰柏瑞,红利/低波/质量,2
159869,游戏ETF华夏,AI/机器人/计算机,1
516650,有色金属ETF华夏,周期资源,1
159852,软件ETF嘉实,AI/机器人/计算机,1
512480,半导体ETF国联安,半导体/芯片,1
516010,游戏ETF国泰,AI/机器人/计算机,1
560090,证券ETF汇添富,金融地产,1
516510,云计算ETF易方达,AI/机器人/计算机,1
159801,芯片ETF广发,半导体/芯片,1
560280,工程机械ETF广发,其他权益主题,1
561980,半导体设备ETF招商,半导体/芯片,1
159681,创业板50ETF鹏华,宽基/规模,1
159363,创业板人工智能ETF华宝,AI/机器人/计算机,1
588800,科创100ETF华夏,宽基/规模,1
562590,半导体设备ETF华夏,半导体/芯片,1
