scenario,date,cash,position_value,total_equity,turnover,cum_return
no_trend_filter_top3,2023-06-30,1000000.0,0.0,1000000.0,0.0,0.0
no_trend_filter_top3,2023-07-03,1000122.3796452607,0.0,1000122.3796452607,0.0,0.0001223796452607
no_trend_filter_top3,2023-07-04,1000163.17618843,0.0,1000163.17618843,0.0,0.0001631761884299
no_trend_filter_top3,2023-07-05,1000203.9743957534,0.0,1000203.9743957534,0.0,0.0002039743957533
no_trend_filter_top3,2023-07-06,1000244.7742672988,0.0,1000244.7742672988,0.0,0.0002447742672988
no_trend_filter_top3,2023-07-07,1000285.5758031344,0.0,1000285.5758031344,0.0,0.0002855758031343
no_trend_filter_top3,2023-07-10,2.58034560829401e-07,993078.2718076024,993078.2718078604,1.0066258371476902,-0.0069217281921396
no_trend_filter_top3,2023-07-11,2.580450864593782e-07,1010126.7100807386,1010126.7100809969,0.0,0.0101267100809967
no_trend_filter_top3,2023-07-12,2.580556125187121e-07,978502.2747479448,978502.2747482028,0.0,-0.0214977252517971
no_trend_filter_top3,2023-07-13,2.580661390074204e-07,1010513.0760586946,1010513.0760589528,0.0,0.0105130760589526
no_trend_filter_top3,2023-07-14,2.580766659255204e-07,1030306.714166201,1030306.714166459,0.0,0.030306714166459
no_trend_filter_top3,2023-07-17,2.581082492563464e-07,1031223.351667563,1031223.351667821,0.0,0.031223351667821
no_trend_filter_top3,2023-07-18,2.581187778921888e-07,1016084.3659338778,1016084.365934136,0.0,0.0160843659341358
no_trend_filter_top3,2023-07-19,2.581293069575106e-07,1010815.3358345884,1010815.3358348464,0.0,0.0108153358348463
no_trend_filter_top3,2023-07-20,2.5813983645232925e-07,976459.2056428962,976459.2056431544,0.0,-0.0235407943568456
no_trend_filter_top3,2023-07-21,2.581503663766624e-07,970942.0854688836,970942.0854691416,0.0,-0.0290579145308583
no_trend_filter_top3,2023-07-24,2.34867911785841e-07,966244.5859383148,966244.5859385498,1.3353339400520208,-0.0337554140614502
no_trend_filter_top3,2023-07-25,2.3487749241226957e-07,986542.2054062104,986542.2054064452,0.0,-0.0134577945935546
no_trend_filter_top3,2023-07-26,2.3488707342950675e-07,985298.5613626392,985298.5613628742,0.0,-0.0147014386371258
no_trend_filter_top3,2023-07-27,2.3489665483756847e-07,985329.7418542008,985329.7418544358,0.0,-0.0146702581455642
no_trend_filter_top3,2023-07-28,2.3490623663647065e-07,1015135.8317128238,1015135.8317130588,0.0,0.0151358317130587
no_trend_filter_top3,2023-07-31,2.3493498437837978e-07,1024285.9838776636,1024285.9838778988,0.0,0.0242859838778985
no_trend_filter_top3,2023-08-01,2.349445677408034e-07,1022196.4008242008,1022196.4008244356,0.0,0.0221964008244357
no_trend_filter_top3,2023-08-02,2.349541514941473e-07,1009579.5808422378,1009579.5808424728,0.0,0.0095795808424727
