scenario,date,cash,position_value,total_equity,turnover,cum_return
no_category_cap,2023-06-30,1000000.0,0.0,1000000.0,0.0,0.0
no_category_cap,2023-07-03,1000122.3796452607,0.0,1000122.3796452607,0.0,0.00012237964526073952
no_category_cap,2023-07-04,1000163.1761884299,0.0,1000163.1761884299,0.0,0.00016317618842998094
no_category_cap,2023-07-05,1000203.9743957534,0.0,1000203.9743957534,0.0,0.00020397439575337017
no_category_cap,2023-07-06,1000244.7742672989,0.0,1000244.7742672989,0.0,0.0002447742672988529
no_category_cap,2023-07-07,1000285.5758031345,0.0,1000285.5758031345,0.0,0.0002855758031343747
no_category_cap,2023-07-10,2.58034560829401e-07,993078.2718076024,993078.2718078604,1.0066258371476902,-0.006921728192139653
no_category_cap,2023-07-11,2.580450864593782e-07,1010126.7100807386,1010126.7100809967,0.0,0.010126710080996748
no_category_cap,2023-07-12,2.580556125187121e-07,978502.2747479448,978502.2747482029,0.0,-0.021497725251797162
no_category_cap,2023-07-13,2.5806613900742033e-07,1010513.0760586946,1010513.0760589527,0.0,0.010513076058952686
no_category_cap,2023-07-14,2.5807666592552036e-07,1030306.714166201,1030306.714166459,0.0,0.030306714166459026
no_category_cap,2023-07-17,2.581082492563464e-07,1031223.351667563,1031223.351667821,0.0,0.031223351667821087
no_category_cap,2023-07-18,2.581187778921888e-07,1016084.3659338778,1016084.3659341359,0.0,0.01608436593413587
no_category_cap,2023-07-19,2.581293069575106e-07,1010815.3358345884,1010815.3358348465,0.0,0.010815335834846396
no_category_cap,2023-07-20,2.5813983645232925e-07,976459.2056428962,976459.2056431543,0.0,-0.02354079435684564
no_category_cap,2023-07-21,2.5815036637666234e-07,970942.0854688835,970942.0854691416,0.0,-0.029057914530858375
no_category_cap,2023-07-24,2.34867911785841e-07,966244.5859383149,966244.5859385498,1.3353339400520208,-0.03375541406145022
no_category_cap,2023-07-25,2.3487749241226955e-07,986542.2054062104,986542.2054064453,0.0,-0.013457794593554673
no_category_cap,2023-07-26,2.3488707342950672e-07,985298.5613626393,985298.5613628742,0.0,-0.014701438637125808
no_category_cap,2023-07-27,2.3489665483756844e-07,985329.7418542008,985329.7418544358,0.0,-0.014670258145564219
no_category_cap,2023-07-28,2.3490623663647065e-07,1015135.8317128238,1015135.8317130588,0.0,0.015135831713058767
no_category_cap,2023-07-31,2.3493498437837976e-07,1024285.9838776637,1024285.9838778987,0.0,0.024285983877898598
no_category_cap,2023-08-01,2.349445677408034e-07,1022196.4008242007,1022196.4008244356,0.0,0.022196400824435747
no_category_cap,2023-08-02,2.3495415149414726e-07,1009579.5808422378,1009579.5808424727,0.0,0.00957958084247279
no_category_cap,2023-08-03,2.349637356384273e-07,1019693.106926509,1019693.1069267439,0.0,0.019693106926743864
no_category_cap,2023-08-04,2.3497332017365943e-07,1020637.008656994,1020637.0086572289,0.0,0.02063700865722895
no_category_cap,2023-08-07,7.459675543941557e-09,1010012.1802480331,1010012.1802480406,0.017558140698264522,0.010012180248040625
no_category_cap,2023-08-08,7.459979835677799e-09,1008665.2659712083,1008665.2659712158,0.0,0.008665265971215863
no_category_cap,2023-08-09,7.460284139826573e-09,1007202.713966196,1007202.7139662035,0.0,0.007202713966203422
no_category_cap,2023-08-10,7.460588456388384e-09,1009544.6166042837,1009544.6166042911,0.0,0.009544616604291178
no_category_cap,2023-08-11,7.46089278536374e-09,988516.2145752485,988516.214575256,0.0,-0.011483785424744042
no_category_cap,2023-08-14,7.46180584677614e-09,982166.4228169735,982166.422816981,0.0,-0.017833577183019034
no_category_cap,2023-08-15,7.46211022541074e-09,994270.3223846832,994270.3223846906,0.0,-0.005729677615309403
no_category_cap,2023-08-16,7.462414616461414e-09,993588.8838966135,993588.883896621,0.0,-0.0064111161033790776
no_category_cap,2023-08-17,7.462719019928672e-09,990777.375405106,990777.3754051134,0.0,-0.009222624594886542
no_category_cap,2023-08-18,7.463023435813019e-09,988083.5468514565,988083.546851464,0.0,-0.011916453148536066
no_category_cap,2023-08-21,1.3324097380973399e-10,973834.6499902704,973834.6499902705,0.008830218850051724,-0.026165350009729527
no_category_cap,2023-08-22,1.3324640891572758e-10,982543.4362678728,982543.4362678729,0.0,-0.017456563732127117
no_category_cap,2023-08-23,1.3325184424342758e-10,977652.3159883198,977652.3159883199,0.0,-0.02234768401168008
no_category_cap,2023-08-24,1.3325727979284303e-10,970027.3324144436,970027.3324144437,0.0,-0.02997266758555628
no_category_cap,2023-08-25,1.3326271556398294e-10,975411.8190844323,975411.8190844324,0.0,-0.02458818091556758
no_category_cap,2023-08-28,1.3327902420784015e-10,991411.249538385,991411.2495383851,0.0,-0.008588750461614891
no_category_cap,2023-08-29,1.332844608659685e-10,983636.7936750846,983636.7936750847,0.0,-0.01636320632491528
no_category_cap,2023-08-30,1.3328989774586656e-10,972623.3057306074,972623.3057306075,0.0,-0.027376694269392488
no_category_cap,2023-08-31,1.3329533484754337e-10,967801.3133996364,967801.3133996365,0.0,-0.03219868660036351
no_category_cap,2023-09-01,1.33300772171008e-10,978457.4431579104,978457.4431579105,0.0,-0.0215425568420895
no_category_cap,2023-09-04,2.6135239750146866e-07,988696.987375661,988696.9873759224,0.6695305322388921,-0.011303012624077624
no_category_cap,2023-09-05,2.6136305847115e-07,983932.3054742593,983932.3054745207,0.0,-0.016067694525479292
no_category_cap,2023-09-06,2.6137371987570883e-07,983505.398469782,983505.3984700433,0.0,-0.016494601529956632
no_category_cap,2023-09-07,2.6138438171516287e-07,977116.9090941758,977116.9090944371,0.0,-0.022883090905562842
no_category_cap,2023-09-08,2.613950439895299e-07,971563.4606286167,971563.4606288781,0.0,-0.028436539371121894
no_category_cap,2023-09-11,2.6142703342228623e-07,980852.5280835798,980852.5280838413,0.0,-0.01914747191615873
no_category_cap,2023-09-12,2.6143769743648254e-07,979312.63938824,979312.6393885014,0.0,-0.020687360611498562
no_category_cap,2023-09-13,2.6144836188568056e-07,978183.5182039893,978183.5182042507,0.0,-0.021816481795749243
no_category_cap,2023-09-14,2.6145902676989797e-07,987870.6746136881,987870.6746139496,0.0,-0.012129325386050382
